Emp_ID,Dept_ID
E00001,D07
E00002,D06
E00003,D01
E00004,D18
E00005,D13
E00006,D19
E00007,D11
E00008,D06
E00009,D17
E00010,D11
E00011,D11
E00012,D05
E00013,D18
E00014,D20
E00015,D17
E00016,D08
E00017,D19
E00018,D01
E00019,D17
E00020,D01
E00021,D18
E00022,D15
E00023,D03
E00024,D11
E00025,D19
E00026,D06
E00027,D07
E00028,D08
E00029,D15
E00030,D15
E00031,D19
E00032,D03
E00033,D10
E00034,D12
E00035,D09
E00036,D07
E00037,D08
E00038,D03
E00039,D01
E00040,D10
E00041,D19
E00042,D11
E00043,D15
E00044,D03
E00045,D07
E00046,D14
E00047,D03
E00048,D18
E00049,D14
E00050,D08
E00051,D16
E00052,D19
E00053,D14
E00054,D02
E00055,D06
E00056,D15
E00057,D01
E00058,D08
E00059,D07
E00060,D08
E00061,D07
E00062,D16
E00063,D20
E00064,D20
E00065,D15
E00066,D06
E00067,D04
E00068,D16
E00069,D10
E00070,D02
E00071,D10
E00072,D08
E00073,D12
E00074,D17
E00075,D16
E00076,D15
E00077,D12
E00078,D09
E00079,D11
E00080,D19
E00081,D06
E00082,D13
E00083,D01
E00084,D05
E00085,D08
E00086,D04
E00087,D16
E00088,D03
E00089,D14
E00090,D03
E00091,D10
E00092,D13
E00093,D09
E00094,D03
E00095,D11
E00096,D10
E00097,D18
E00098,D17
E00099,D20
E00100,D04
E00101,D10
E00102,D11
E00103,D06
E00104,D12
E00105,D02
E00106,D03
E00107,D09
E00108,D16
E00109,D18
E00110,D02
E00111,D17
E00112,D04
E00113,D08
E00114,D05
E00115,D15
E00116,D05
E00117,D05
E00118,D19
E00119,D11
E00120,D15
E00121,D01
E00122,D18
E00123,D02
E00124,D19
E00125,D06
E00126,D03
E00127,D03
E00128,D16
E00129,D01
E00130,D11
E00131,D10
E00132,D11
E00133,D16
E00134,D18
E00135,D15
E00136,D14
E00137,D04
E00138,D03
E00139,D11
E00140,D01
E00141,D12
E00142,D09
E00143,D11
E00144,D16
E00145,D14
E00146,D01
E00147,D12
E00148,D16
E00149,D20
E00150,D14
E00151,D05
E00152,D18
E00153,D06
E00154,D19
E00155,D10
E00156,D10
E00157,D07
E00158,D16
E00159,D09
E00160,D17
E00161,D14
E00162,D17
E00163,D01
E00164,D03
E00165,D03
E00166,D06
E00167,D14
E00168,D07
E00169,D11
E00170,D08
E00171,D13
E00172,D06
E00173,D11
E00174,D02
E00175,D01
E00176,D11
E00177,D15
E00178,D02
E00179,D14
E00180,D20
E00181,D11
E00182,D19
E00183,D05
E00184,D14
E00185,D04
E00186,D04
E00187,D18
E00188,D17
E00189,D18
E00190,D09
E00191,D12
E00192,D13
E00193,D20
E00194,D06
E00195,D05
E00196,D19
E00197,D01
E00198,D09
E00199,D09
E00200,D17
E00201,D05
E00202,D12
E00203,D10
E00204,D08
E00205,D02
E00206,D07
E00207,D20
E00208,D03
E00209,D10
E00210,D07
E00211,D12
E00212,D20
E00213,D12
E00214,D14
E00215,D20
E00216,D13
E00217,D04
E00218,D15
E00219,D18
E00220,D09
E00221,D05
E00222,D12
E00223,D20
E00224,D03
E00225,D08
E00226,D10
E00227,D13
E00228,D07
E00229,D18
E00230,D10
E00231,D20
E00232,D08
E00233,D03
E00234,D18
E00235,D05
E00236,D19
E00237,D06
E00238,D17
E00239,D19
E00240,D12
E00241,D12
E00242,D12
E00243,D11
E00244,D04
E00245,D02
E00246,D18
E00247,D17
E00248,D11
E00249,D11
E00250,D19
E00251,D07
E00252,D17
E00253,D20
E00254,D19
E00255,D16
E00256,D08
E00257,D10
E00258,D15
E00259,D06
E00260,D11
E00261,D07
E00262,D19
E00263,D07
E00264,D16
E00265,D11
E00266,D03
E00267,D10
E00268,D13
E00269,D15
E00270,D01
E00271,D14
E00272,D05
E00273,D03
E00274,D16
E00275,D08
E00276,D03
E00277,D08
E00278,D03
E00279,D18
E00280,D14
E00281,D08
E00282,D20
E00283,D05
E00284,D09
E00285,D10
E00286,D18
E00287,D14
E00288,D18
E00289,D04
E00290,D19
E00291,D01
E00292,D13
E00293,D03
E00294,D06
E00295,D03
E00296,D12
E00297,D03
E00298,D06
E00299,D03
E00300,D12
E00301,D13
E00302,D07
E00303,D16
E00304,D13
E00305,D14
E00306,D05
E00307,D16
E00308,D20
E00309,D18
E00310,D09
E00311,D10
E00312,D20
E00313,D10
E00314,D06
E00315,D11
E00316,D13
E00317,D12
E00318,D13
E00319,D17
E00320,D16
E00321,D16
E00322,D06
E00323,D07
E00324,D18
E00325,D16
E00326,D05
E00327,D14
E00328,D01
E00329,D16
E00330,D19
E00331,D15
E00332,D05
E00333,D07
E00334,D05
E00335,D06
E00336,D11
E00337,D12
E00338,D19
E00339,D11
E00340,D14
E00341,D17
E00342,D17
E00343,D20
E00344,D02
E00345,D18
E00346,D03
E00347,D10
E00348,D03
E00349,D17
E00350,D19
E00351,D15
E00352,D06
E00353,D07
E00354,D11
E00355,D03
E00356,D05
E00357,D17
E00358,D18
E00359,D05
E00360,D01
E00361,D05
E00362,D13
E00363,D08
E00364,D07
E00365,D09
E00366,D03
E00367,D08
E00368,D14
E00369,D12
E00370,D05
E00371,D19
E00372,D05
E00373,D05
E00374,D15
E00375,D20
E00376,D01
E00377,D19
E00378,D19
E00379,D17
E00380,D18
E00381,D12
E00382,D16
E00383,D20
E00384,D19
E00385,D17
E00386,D17
E00387,D02
E00388,D12
E00389,D02
E00390,D17
E00391,D06
E00392,D16
E00393,D14
E00394,D14
E00395,D19
E00396,D18
E00397,D20
E00398,D14
E00399,D17
E00400,D20
E00401,D07
E00402,D09
E00403,D17
E00404,D12
E00405,D17
E00406,D18
E00407,D11
E00408,D03
E00409,D09
E00410,D17
E00411,D17
E00412,D16
E00413,D15
E00414,D07
E00415,D04
E00416,D03
E00417,D07
E00418,D01
E00419,D10
E00420,D08
E00421,D11
E00422,D02
E00423,D12
E00424,D20
E00425,D18
E00426,D13
E00427,D02
E00428,D08
E00429,D07
E00430,D04
E00431,D13
E00432,D19
E00433,D09
E00434,D05
E00435,D19
E00436,D07
E00437,D04
E00438,D03
E00439,D14
E00440,D08
E00441,D01
E00442,D12
E00443,D04
E00444,D16
E00445,D19
E00446,D12
E00447,D20
E00448,D03
E00449,D08
E00450,D01
E00451,D05
E00452,D02
E00453,D12
E00454,D13
E00455,D15
E00456,D02
E00457,D01
E00458,D01
E00459,D12
E00460,D07
E00461,D15
E00462,D15
E00463,D11
E00464,D14
E00465,D12
E00466,D01
E00467,D04
E00468,D20
E00469,D20
E00470,D06
E00471,D20
E00472,D15
E00473,D15
E00474,D10
E00475,D13
E00476,D03
E00477,D04
E00478,D16
E00479,D01
E00480,D05
E00481,D06
E00482,D20
E00483,D16
E00484,D17
E00485,D11
E00486,D16
E00487,D16
E00488,D19
E00489,D08
E00490,D17
E00491,D09
E00492,D01
E00493,D20
E00494,D03
E00495,D16
E00496,D17
E00497,D06
E00498,D18
E00499,D07
E00500,D01
E00501,D05
E00502,D18
E00503,D20
E00504,D19
E00505,D06
E00506,D09
E00507,D04
E00508,D10
E00509,D09
E00510,D01
E00511,D18
E00512,D05
E00513,D10
E00514,D14
E00515,D17
E00516,D02
E00517,D01
E00518,D01
E00519,D12
E00520,D16
E00521,D09
E00522,D15
E00523,D06
E00524,D02
E00525,D13
E00526,D13
E00527,D12
E00528,D13
E00529,D19
E00530,D03
E00531,D16
E00532,D19
E00533,D08
E00534,D19
E00535,D08
E00536,D15
E00537,D08
E00538,D05
E00539,D15
E00540,D01
E00541,D12
E00542,D04
E00543,D17
E00544,D17
E00545,D11
E00546,D11
E00547,D12
E00548,D17
E00549,D19
E00550,D16
E00551,D18
E00552,D19
E00553,D10
E00554,D02
E00555,D07
E00556,D12
E00557,D15
E00558,D07
E00559,D19
E00560,D17
E00561,D13
E00562,D04
E00563,D14
E00564,D12
E00565,D13
E00566,D07
E00567,D10
E00568,D12
E00569,D06
E00570,D15
E00571,D09
E00572,D14
E00573,D04
E00574,D05
E00575,D16
E00576,D09
E00577,D10
E00578,D10
E00579,D19
E00580,D17
E00581,D07
E00582,D15
E00583,D17
E00584,D02
E00585,D12
E00586,D10
E00587,D09
E00588,D15
E00589,D10
E00590,D06
E00591,D14
E00592,D13
E00593,D09
E00594,D06
E00595,D19
E00596,D09
E00597,D13
E00598,D19
E00599,D13
E00600,D06
E00601,D13
E00602,D08
E00603,D18
E00604,D09
E00605,D11
E00606,D18
E00607,D02
E00608,D13
E00609,D15
E00610,D16
E00611,D18
E00612,D08
E00613,D14
E00614,D18
E00615,D19
E00616,D12
E00617,D11
E00618,D08
E00619,D15
E00620,D02
E00621,D11
E00622,D20
E00623,D03
E00624,D17
E00625,D03
E00626,D18
E00627,D08
E00628,D03
E00629,D10
E00630,D18
E00631,D16
E00632,D03
E00633,D18
E00634,D02
E00635,D13
E00636,D15
E00637,D19
E00638,D06
E00639,D10
E00640,D20
E00641,D05
E00642,D19
E00643,D08
E00644,D02
E00645,D20
E00646,D20
E00647,D08
E00648,D14
E00649,D13
E00650,D10
E00651,D03
E00652,D20
E00653,D17
E00654,D12
E00655,D02
E00656,D13
E00657,D15
E00658,D16
E00659,D16
E00660,D20
E00661,D06
E00662,D10
E00663,D01
E00664,D08
E00665,D15
E00666,D19
E00667,D13
E00668,D12
E00669,D10
E00670,D16
E00671,D08
E00672,D20
E00673,D04
E00674,D17
E00675,D05
E00676,D17
E00677,D04
E00678,D10
E00679,D16
E00680,D01
E00681,D14
E00682,D06
E00683,D20
E00684,D11
E00685,D18
E00686,D12
E00687,D11
E00688,D06
E00689,D06
E00690,D13
E00691,D02
E00692,D05
E00693,D09
E00694,D05
E00695,D13
E00696,D01
E00697,D19
E00698,D12
E00699,D14
E00700,D01
E00701,D10
E00702,D18
E00703,D06
E00704,D13
E00705,D08
E00706,D07
E00707,D20
E00708,D12
E00709,D06
E00710,D13
E00711,D15
E00712,D16
E00713,D05
E00714,D09
E00715,D03
E00716,D02
E00717,D05
E00718,D17
E00719,D10
E00720,D06
E00721,D16
E00722,D16
E00723,D13
E00724,D20
E00725,D18
E00726,D13
E00727,D04
E00728,D03
E00729,D14
E00730,D05
E00731,D08
E00732,D06
E00733,D09
E00734,D09
E00735,D01
E00736,D08
E00737,D19
E00738,D06
E00739,D05
E00740,D11
E00741,D16
E00742,D12
E00743,D08
E00744,D12
E00745,D19
E00746,D07
E00747,D01
E00748,D13
E00749,D02
E00750,D15
E00751,D19
E00752,D18
E00753,D15
E00754,D02
E00755,D13
E00756,D07
E00757,D19
E00758,D12
E00759,D18
E00760,D16
E00761,D12
E00762,D18
E00763,D03
E00764,D07
E00765,D16
E00766,D14
E00767,D11
E00768,D04
E00769,D11
E00770,D03
E00771,D16
E00772,D17
E00773,D06
E00774,D03
E00775,D18
E00776,D04
E00777,D09
E00778,D14
E00779,D10
E00780,D12
E00781,D19
E00782,D18
E00783,D16
E00784,D16
E00785,D01
E00786,D08
E00787,D18
E00788,D19
E00789,D13
E00790,D03
E00791,D02
E00792,D01
E00793,D01
E00794,D02
E00795,D17
E00796,D14
E00797,D06
E00798,D09
E00799,D10
E00800,D13
E00801,D05
E00802,D01
E00803,D14
E00804,D09
E00805,D18
E00806,D15
E00807,D07
E00808,D09
E00809,D17
E00810,D15
E00811,D08
E00812,D14
E00813,D11
E00814,D14
E00815,D17
E00816,D05
E00817,D04
E00818,D15
E00819,D20
E00820,D04
E00821,D18
E00822,D04
E00823,D20
E00824,D13
E00825,D15
E00826,D12
E00827,D08
E00828,D02
E00829,D10
E00830,D12
E00831,D20
E00832,D11
E00833,D10
E00834,D11
E00835,D15
E00836,D07
E00837,D12
E00838,D12
E00839,D10
E00840,D10
E00841,D13
E00842,D02
E00843,D11
E00844,D09
E00845,D10
E00846,D18
E00847,D10
E00848,D11
E00849,D18
E00850,D10
E00851,D07
E00852,D11
E00853,D17
E00854,D01
E00855,D15
E00856,D02
E00857,D03
E00858,D15
E00859,D01
E00860,D14
E00861,D14
E00862,D11
E00863,D05
E00864,D19
E00865,D03
E00866,D07
E00867,D13
E00868,D06
E00869,D13
E00870,D01
E00871,D04
E00872,D04
E00873,D06
E00874,D14
E00875,D14
E00876,D04
E00877,D05
E00878,D08
E00879,D09
E00880,D02
E00881,D14
E00882,D16
E00883,D05
E00884,D16
E00885,D17
E00886,D15
E00887,D11
E00888,D06
E00889,D04
E00890,D10
E00891,D02
E00892,D06
E00893,D11
E00894,D06
E00895,D11
E00896,D08
E00897,D17
E00898,D18
E00899,D02
E00900,D15
E00901,D19
E00902,D03
E00903,D12
E00904,D07
E00905,D01
E00906,D02
E00907,D11
E00908,D05
E00909,D10
E00910,D01
E00911,D04
E00912,D13
E00913,D18
E00914,D10
E00915,D14
E00916,D18
E00917,D18
E00918,D01
E00919,D16
E00920,D17
E00921,D13
